"","Taxon","Family","Order","Year","Clean_code","IUCNName","mass"
"86","Aloe greatheadii","Liliaceae","Liliales",2001,"NE","Aloe greatheadii",0
"87","Aloe greatheadii","Liliaceae","Liliales",2002,"NE","Aloe greatheadii",0
"88","Aloe greatheadii","Liliaceae","Liliales",2003,"NE","Aloe greatheadii",0
"89","Aloe greatheadii","Liliaceae","Liliales",2004,"NE","Aloe greatheadii",0
"90","Aloe greatheadii","Liliaceae","Liliales",2005,"NE","Aloe greatheadii",0
"91","Aloe greatheadii","Liliaceae","Liliales",2006,"NE","Aloe greatheadii",0
"92","Aloe greatheadii","Liliaceae","Liliales",2007,"NE","Aloe greatheadii",0
"93","Aloe greatheadii","Liliaceae","Liliales",2008,"NE","Aloe greatheadii",0
"94","Aloe greatheadii","Liliaceae","Liliales",2009,"NE","Aloe greatheadii",0
"95","Aloe greatheadii","Liliaceae","Liliales",2010,"NE","Aloe greatheadii",0
"96","Aloe greatheadii","Liliaceae","Liliales",2011,"NE","Aloe greatheadii",0
"97","Aloe greatheadii","Liliaceae","Liliales",2012,"NE","Aloe greatheadii",0
"98","Aloe greatheadii","Liliaceae","Liliales",2013,"NE","Aloe greatheadii",0
"99","Aloe greatheadii","Liliaceae","Liliales",2014,"NE","Aloe greatheadii",366
"100","Aloe greatheadii","Liliaceae","Liliales",2015,"NE","Aloe greatheadii",350
"101","Aloe greatheadii","Liliaceae","Liliales",2016,"NE","Aloe greatheadii",0
"102","Aloe greatheadii","Liliaceae","Liliales",2017,"NE","Aloe greatheadii",0
"103","Aloe greatheadii","Liliaceae","Liliales",2018,"NE","Aloe greatheadii",0
"104","Aloe greatheadii","Liliaceae","Liliales",2019,"LC","Aloe greatheadii",0
"105","Aloe greatheadii","Liliaceae","Liliales",2020,"LC","Aloe greatheadii",0
"106","Aloe marlothii","Liliaceae","Liliales",2000,"NE","Aloe marlothii",0
"107","Aloe marlothii","Liliaceae","Liliales",2001,"NE","Aloe marlothii",0
"108","Aloe marlothii","Liliaceae","Liliales",2002,"NE","Aloe marlothii",0
"109","Aloe marlothii","Liliaceae","Liliales",2003,"NE","Aloe marlothii",0
"110","Aloe marlothii","Liliaceae","Liliales",2004,"NE","Aloe marlothii",0
"111","Aloe marlothii","Liliaceae","Liliales",2005,"NE","Aloe marlothii",0
"112","Aloe marlothii","Liliaceae","Liliales",2006,"NE","Aloe marlothii",0
"113","Aloe marlothii","Liliaceae","Liliales",2007,"NE","Aloe marlothii",0
"114","Aloe marlothii","Liliaceae","Liliales",2008,"NE","Aloe marlothii",0
"115","Aloe marlothii","Liliaceae","Liliales",2009,"NE","Aloe marlothii",0
"116","Aloe marlothii","Liliaceae","Liliales",2010,"NE","Aloe marlothii",0
"117","Aloe marlothii","Liliaceae","Liliales",2011,"NE","Aloe marlothii",0
"118","Aloe marlothii","Liliaceae","Liliales",2012,"NE","Aloe marlothii",0
"119","Aloe marlothii","Liliaceae","Liliales",2013,"NE","Aloe marlothii",0
"120","Aloe marlothii","Liliaceae","Liliales",2014,"NE","Aloe marlothii",0
"121","Aloe marlothii","Liliaceae","Liliales",2015,"NE","Aloe marlothii",0
"122","Aloe marlothii","Liliaceae","Liliales",2016,"NE","Aloe marlothii",0.96
"123","Aloe marlothii","Liliaceae","Liliales",2017,"NE","Aloe marlothii",0
"124","Aloe marlothii","Liliaceae","Liliales",2018,"NE","Aloe marlothii",0
"125","Aloe marlothii","Liliaceae","Liliales",2019,"LC","Aloe marlothii",0
"126","Aloe marlothii","Liliaceae","Liliales",2020,"LC","Aloe marlothii",0
"127","Aloe secundiflora","Liliaceae","Liliales",2000,"NE","Aloe secundiflora",0
"128","Aloe secundiflora","Liliaceae","Liliales",2001,"NE","Aloe secundiflora",0
"129","Aloe secundiflora","Liliaceae","Liliales",2002,"NE","Aloe secundiflora",0
"130","Aloe secundiflora","Liliaceae","Liliales",2003,"NE","Aloe secundiflora",0
"131","Aloe secundiflora","Liliaceae","Liliales",2004,"NE","Aloe secundiflora",0
"132","Aloe secundiflora","Liliaceae","Liliales",2005,"NE","Aloe secundiflora",0
"133","Aloe secundiflora","Liliaceae","Liliales",2006,"NE","Aloe secundiflora",0
"134","Aloe secundiflora","Liliaceae","Liliales",2007,"NE","Aloe secundiflora",0
"135","Aloe secundiflora","Liliaceae","Liliales",2008,"NE","Aloe secundiflora",0
"136","Aloe secundiflora","Liliaceae","Liliales",2009,"NE","Aloe secundiflora",0
"137","Aloe secundiflora","Liliaceae","Liliales",2010,"NE","Aloe secundiflora",0
"138","Aloe secundiflora","Liliaceae","Liliales",2011,"NE","Aloe secundiflora",0
"139","Aloe secundiflora","Liliaceae","Liliales",2012,"NE","Aloe secundiflora",0
"140","Aloe secundiflora","Liliaceae","Liliales",2013,"LC","Aloe secundiflora",0
"141","Aloe secundiflora","Liliaceae","Liliales",2014,"LC","Aloe secundiflora",0
"142","Aloe secundiflora","Liliaceae","Liliales",2015,"LC","Aloe secundiflora",45
"143","Aloe secundiflora","Liliaceae","Liliales",2016,"LC","Aloe secundiflora",0
"144","Aloe secundiflora","Liliaceae","Liliales",2017,"LC","Aloe secundiflora",0
"145","Aloe secundiflora","Liliaceae","Liliales",2018,"LC","Aloe secundiflora",40
"146","Aloe secundiflora","Liliaceae","Liliales",2019,"LC","Aloe secundiflora",0
"147","Aloe secundiflora","Liliaceae","Liliales",2020,"LC","Aloe secundiflora",0
"148","Aniba rosaeodora","Lauraceae","Laurales",2010,"NE","Aniba rosaeodora",0
"149","Aniba rosaeodora","Lauraceae","Laurales",2011,"NE","Aniba rosaeodora",0
"150","Aniba rosaeodora","Lauraceae","Laurales",2012,"NE","Aniba rosaeodora",0
"151","Aniba rosaeodora","Lauraceae","Laurales",2013,"NE","Aniba rosaeodora",1
"152","Aniba rosaeodora","Lauraceae","Laurales",2014,"NE","Aniba rosaeodora",0
"153","Aniba rosaeodora","Lauraceae","Laurales",2015,"NE","Aniba rosaeodora",52.5
"154","Aniba rosaeodora","Lauraceae","Laurales",2016,"NE","Aniba rosaeodora",0
"155","Aniba rosaeodora","Lauraceae","Laurales",2017,"NE","Aniba rosaeodora",0
"156","Aniba rosaeodora","Lauraceae","Laurales",2018,"NE","Aniba rosaeodora",0
"157","Aniba rosaeodora","Lauraceae","Laurales",2019,"NE","Aniba rosaeodora",0
"158","Aniba rosaeodora","Lauraceae","Laurales",2020,"EN","Aniba rosaeodora",0
"159","Aquilaria crassna","Thymelaeaceae","Myrtales",2005,"CR","Aquilaria crassna",0
"160","Aquilaria crassna","Thymelaeaceae","Myrtales",2006,"CR","Aquilaria crassna",10037.6
"161","Aquilaria crassna","Thymelaeaceae","Myrtales",2007,"CR","Aquilaria crassna",0.12
"162","Aquilaria crassna","Thymelaeaceae","Myrtales",2008,"CR","Aquilaria crassna",47.3
"163","Aquilaria crassna","Thymelaeaceae","Myrtales",2009,"CR","Aquilaria crassna",2.52
"164","Aquilaria crassna","Thymelaeaceae","Myrtales",2010,"CR","Aquilaria crassna",2.4
"165","Aquilaria crassna","Thymelaeaceae","Myrtales",2011,"CR","Aquilaria crassna",82.64
"166","Aquilaria crassna","Thymelaeaceae","Myrtales",2012,"CR","Aquilaria crassna",0
"167","Aquilaria crassna","Thymelaeaceae","Myrtales",2013,"CR","Aquilaria crassna",23
"168","Aquilaria crassna","Thymelaeaceae","Myrtales",2014,"CR","Aquilaria crassna",0
"169","Aquilaria crassna","Thymelaeaceae","Myrtales",2015,"CR","Aquilaria crassna",30
"170","Aquilaria crassna","Thymelaeaceae","Myrtales",2016,"CR","Aquilaria crassna",1
"171","Aquilaria crassna","Thymelaeaceae","Myrtales",2017,"CR","Aquilaria crassna",0
"172","Aquilaria crassna","Thymelaeaceae","Myrtales",2018,"CR","Aquilaria crassna",2
"173","Aquilaria crassna","Thymelaeaceae","Myrtales",2019,"CR","Aquilaria crassna",0
"174","Aquilaria crassna","Thymelaeaceae","Myrtales",2020,"CR","Aquilaria crassna",141.6
"175","Aquilaria filaria","Thymelaeaceae","Myrtales",2005,"NE","Aquilaria filaria",28495
"176","Aquilaria filaria","Thymelaeaceae","Myrtales",2006,"NE","Aquilaria filaria",42700
"177","Aquilaria filaria","Thymelaeaceae","Myrtales",2007,"NE","Aquilaria filaria",59328.6
"178","Aquilaria filaria","Thymelaeaceae","Myrtales",2008,"NE","Aquilaria filaria",127564.7
"179","Aquilaria filaria","Thymelaeaceae","Myrtales",2009,"NE","Aquilaria filaria",39620.2
"180","Aquilaria filaria","Thymelaeaceae","Myrtales",2010,"NE","Aquilaria filaria",31872.087
"181","Aquilaria filaria","Thymelaeaceae","Myrtales",2011,"NE","Aquilaria filaria",226634.3
"182","Aquilaria filaria","Thymelaeaceae","Myrtales",2012,"NE","Aquilaria filaria",62085
"183","Aquilaria filaria","Thymelaeaceae","Myrtales",2013,"NE","Aquilaria filaria",441322.2
"184","Aquilaria filaria","Thymelaeaceae","Myrtales",2014,"NE","Aquilaria filaria",119263
"185","Aquilaria filaria","Thymelaeaceae","Myrtales",2015,"NE","Aquilaria filaria",48485
"186","Aquilaria filaria","Thymelaeaceae","Myrtales",2016,"NE","Aquilaria filaria",74635
"187","Aquilaria filaria","Thymelaeaceae","Myrtales",2017,"NE","Aquilaria filaria",40087
"188","Aquilaria filaria","Thymelaeaceae","Myrtales",2018,"VU","Aquilaria filaria",314032
"189","Aquilaria filaria","Thymelaeaceae","Myrtales",2019,"VU","Aquilaria filaria",235400.2
"190","Aquilaria filaria","Thymelaeaceae","Myrtales",2020,"VU","Aquilaria filaria",81074
"191","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2000,"VU","Aquilaria malaccensis",5600
"192","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2001,"VU","Aquilaria malaccensis",50
"193","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2002,"VU","Aquilaria malaccensis",0
"194","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2003,"VU","Aquilaria malaccensis",15000
"195","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2004,"VU","Aquilaria malaccensis",5000
"196","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2005,"VU","Aquilaria malaccensis",2000.4
"197","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2006,"VU","Aquilaria malaccensis",5005.5488
"198","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2007,"VU","Aquilaria malaccensis",17628.6
"199","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2008,"VU","Aquilaria malaccensis",58805.98
"200","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2009,"VU","Aquilaria malaccensis",31962
"201","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2010,"VU","Aquilaria malaccensis",37944.03
"202","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2011,"VU","Aquilaria malaccensis",86540.1
"203","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2012,"VU","Aquilaria malaccensis",74513.5
"204","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2013,"VU","Aquilaria malaccensis",97035.79
"205","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2014,"VU","Aquilaria malaccensis",16221
"206","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2015,"VU","Aquilaria malaccensis",0
"207","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2016,"VU","Aquilaria malaccensis",73.006
"208","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2017,"VU","Aquilaria malaccensis",27.012
"209","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2018,"CR","Aquilaria malaccensis",2050
"210","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2019,"CR","Aquilaria malaccensis",0.006
"211","Aquilaria malaccensis","Thymelaeaceae","Myrtales",2020,"CR","Aquilaria malaccensis",866.536
"212","Aquilaria sinensis","Thymelaeaceae","Myrtales",2005,"VU","Aquilaria sinensis",0
"213","Aquilaria sinensis","Thymelaeaceae","Myrtales",2006,"VU","Aquilaria sinensis",0
"214","Aquilaria sinensis","Thymelaeaceae","Myrtales",2007,"VU","Aquilaria sinensis",0
"215","Aquilaria sinensis","Thymelaeaceae","Myrtales",2008,"VU","Aquilaria sinensis",0
"216","Aquilaria sinensis","Thymelaeaceae","Myrtales",2009,"VU","Aquilaria sinensis",0
"217","Aquilaria sinensis","Thymelaeaceae","Myrtales",2010,"VU","Aquilaria sinensis",0
"218","Aquilaria sinensis","Thymelaeaceae","Myrtales",2011,"VU","Aquilaria sinensis",0
"219","Aquilaria sinensis","Thymelaeaceae","Myrtales",2012,"VU","Aquilaria sinensis",0
"220","Aquilaria sinensis","Thymelaeaceae","Myrtales",2013,"VU","Aquilaria sinensis",5.97
"221","Aquilaria sinensis","Thymelaeaceae","Myrtales",2014,"VU","Aquilaria sinensis",0
"222","Aquilaria sinensis","Thymelaeaceae","Myrtales",2015,"VU","Aquilaria sinensis",0
"223","Aquilaria sinensis","Thymelaeaceae","Myrtales",2016,"VU","Aquilaria sinensis",0
"224","Aquilaria sinensis","Thymelaeaceae","Myrtales",2017,"VU","Aquilaria sinensis",0
"225","Aquilaria sinensis","Thymelaeaceae","Myrtales",2018,"VU","Aquilaria sinensis",0
"226","Aquilaria sinensis","Thymelaeaceae","Myrtales",2019,"VU","Aquilaria sinensis",0
"227","Aquilaria sinensis","Thymelaeaceae","Myrtales",2020,"VU","Aquilaria sinensis",0
"228","Barlia robertiana","Orchidaceae","Orchidales",2000,"NE","Himantoglossum robertianum",0
"229","Barlia robertiana","Orchidaceae","Orchidales",2001,"NE","Himantoglossum robertianum",0
"230","Barlia robertiana","Orchidaceae","Orchidales",2002,"NE","Himantoglossum robertianum",0
"231","Barlia robertiana","Orchidaceae","Orchidales",2003,"NE","Himantoglossum robertianum",0
"232","Barlia robertiana","Orchidaceae","Orchidales",2004,"NE","Himantoglossum robertianum",0
"233","Barlia robertiana","Orchidaceae","Orchidales",2005,"NE","Himantoglossum robertianum",0
"234","Barlia robertiana","Orchidaceae","Orchidales",2006,"NE","Himantoglossum robertianum",0
"235","Barlia robertiana","Orchidaceae","Orchidales",2007,"NE","Himantoglossum robertianum",0
"236","Barlia robertiana","Orchidaceae","Orchidales",2008,"NE","Himantoglossum robertianum",0
"237","Barlia robertiana","Orchidaceae","Orchidales",2009,"NE","Himantoglossum robertianum",0
"238","Barlia robertiana","Orchidaceae","Orchidales",2010,"NE","Himantoglossum robertianum",0
"239","Barlia robertiana","Orchidaceae","Orchidales",2011,"NE","Himantoglossum robertianum",0
"240","Barlia robertiana","Orchidaceae","Orchidales",2012,"NE","Himantoglossum robertianum",0
"241","Barlia robertiana","Orchidaceae","Orchidales",2013,"NE","Himantoglossum robertianum",0
"242","Barlia robertiana","Orchidaceae","Orchidales",2014,"NE","Himantoglossum robertianum",3.5
"243","Barlia robertiana","Orchidaceae","Orchidales",2015,"LC","Himantoglossum robertianum",0
"244","Barlia robertiana","Orchidaceae","Orchidales",2016,"LC","Himantoglossum robertianum",0
"245","Barlia robertiana","Orchidaceae","Orchidales",2017,"LC","Himantoglossum robertianum",0
"246","Barlia robertiana","Orchidaceae","Orchidales",2018,"LC","Himantoglossum robertianum",0
"247","Barlia robertiana","Orchidaceae","Orchidales",2019,"LC","Himantoglossum robertianum",0
"248","Barlia robertiana","Orchidaceae","Orchidales",2020,"LC","Himantoglossum robertianum",0
"249","Bletilla striata","Orchidaceae","Orchidales",2000,"NE","Bletilla striata",0
"250","Bletilla striata","Orchidaceae","Orchidales",2001,"NE","Bletilla striata",0
"251","Bletilla striata","Orchidaceae","Orchidales",2002,"NE","Bletilla striata",0
"252","Bletilla striata","Orchidaceae","Orchidales",2003,"NE","Bletilla striata",2000
"253","Bletilla striata","Orchidaceae","Orchidales",2004,"NE","Bletilla striata",0
"254","Bletilla striata","Orchidaceae","Orchidales",2005,"NE","Bletilla striata",0
"255","Bletilla striata","Orchidaceae","Orchidales",2006,"NE","Bletilla striata",0
"256","Bletilla striata","Orchidaceae","Orchidales",2007,"NE","Bletilla striata",0
"257","Bletilla striata","Orchidaceae","Orchidales",2008,"NE","Bletilla striata",0
"258","Bletilla striata","Orchidaceae","Orchidales",2009,"NE","Bletilla striata",0
"259","Bletilla striata","Orchidaceae","Orchidales",2010,"NE","Bletilla striata",0
