"","Taxon","Family","Order","Vol_Unit","Importer","Exporter","Year","Vol","Volume"
"1362","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","SG",2016,2.1003125,2.1003125
"1363","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","SG",2017,,0
"1364","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","SG",2018,,0
"1365","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","SG",2019,0.150625,0.150625
"1366","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","SG",2020,,0
"1367","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2000,,0
"1368","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2001,,0
"1369","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2002,,0
"1370","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2003,,0
"1371","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2004,,0
"1372","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2005,,0
"1373","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2006,,0
"1374","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2007,,0
"1375","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2008,,0
"1376","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2009,2.5125,2.5125
"1377","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2010,1.1246875,1.1246875
"1378","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2011,1.4003125,1.4003125
"1379","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2012,2.2984375,2.2984375
"1380","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2013,,0
"1381","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2014,,0
"1382","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2015,,0
"1383","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2016,0.4175,0.4175
"1384","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2017,0.53453125,0.53453125
"1385","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2018,,0
"1386","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2019,,0
"1387","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","KW","TH",2020,,0
"1388","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2000,,0
"1389","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2001,,0
"1390","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2002,,0
"1391","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2003,,0
"1392","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2004,,0
"1393","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2005,,0
"1394","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2006,,0
"1395","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2007,1.25,1.25
"1396","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2008,1.5625,1.5625
"1397","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2009,,0
"1398","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2010,,0
"1399","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2011,,0
"1400","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2012,,0
"1401","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2013,,0
"1402","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2014,,0
"1403","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2015,,0
"1404","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2016,,0
"1405","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2017,,0
"1406","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2018,,0
"1407","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2019,,0
"1408","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","LA","MY",2020,,0
"1409","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2000,,0
"1410","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2001,,0
"1411","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2002,,0
"1412","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2003,,0
"1413","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2004,,0
"1414","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2005,,0
"1415","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2006,,0
"1416","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2007,,0
"1417","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2008,,0
"1418","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2009,0.078125,0.078125
"1419","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2010,,0
"1420","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2011,9.8,9.8
"1421","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2012,48.25,48.25
"1422","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2013,24.140625,24.140625
"1423","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2014,,0
"1424","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2015,,0
"1425","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2016,,0
"1426","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2017,,0
"1427","Aquilaria malaccensis","Thymelaeaceae","Myrtales","m3","MO","ID",2018,,0
