"","Taxon","Family","Order","Vol_Unit","Year","Clean_code","IUCNName","Threat","Volume"
"392","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2002,"VU","Gonystylus bancanus","threatened",13081.7424615385
"393","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2003,"VU","Gonystylus bancanus","threatened",5945.391
"394","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2004,"VU","Gonystylus bancanus","threatened",2400.6502
"395","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2005,"VU","Gonystylus bancanus","threatened",3622.5756
"396","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2006,"VU","Gonystylus bancanus","threatened",4064.5089
"397","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2007,"VU","Gonystylus bancanus","threatened",5741.57770769231
"398","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2008,"VU","Gonystylus bancanus","threatened",3116.72073076923
"399","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2009,"VU","Gonystylus bancanus","threatened",2664.4079
"400","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2010,"VU","Gonystylus bancanus","threatened",2144.6723134597
"401","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2011,"VU","Gonystylus bancanus","threatened",1361.8641
"402","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2012,"VU","Gonystylus bancanus","threatened",803.1016
"403","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2013,"VU","Gonystylus bancanus","threatened",178.3551
"404","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2014,"VU","Gonystylus bancanus","threatened",188.0527
"405","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2015,"VU","Gonystylus bancanus","threatened",47.8195
"406","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2016,"VU","Gonystylus bancanus","threatened",33.124504947
"407","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2017,"VU","Gonystylus bancanus","threatened",32.9296
"408","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2018,"CR","Gonystylus bancanus","threatened",27.8749
"409","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2019,"CR","Gonystylus bancanus","threatened",0
"410","Gonystylus bancanus","Thymelaeaceae","Myrtales","m3",2020,"CR","Gonystylus bancanus","threatened",0
"411","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2001,"VU","Gonystylus macrophyllus","threatened",0
"412","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2002,"VU","Gonystylus macrophyllus","threatened",0
"413","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2003,"VU","Gonystylus macrophyllus","threatened",0
"414","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2004,"VU","Gonystylus macrophyllus","threatened",0
"415","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2005,"VU","Gonystylus macrophyllus","threatened",0
"416","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2006,"VU","Gonystylus macrophyllus","threatened",0
"417","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2007,"VU","Gonystylus macrophyllus","threatened",0
"418","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2008,"VU","Gonystylus macrophyllus","threatened",0
"419","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2009,"VU","Gonystylus macrophyllus","threatened",0
"420","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2010,"VU","Gonystylus macrophyllus","threatened",0
"421","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2011,"VU","Gonystylus macrophyllus","threatened",0
"422","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2012,"VU","Gonystylus macrophyllus","threatened",0
"423","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2013,"VU","Gonystylus macrophyllus","threatened",0
"424","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2014,"VU","Gonystylus macrophyllus","threatened",0
"425","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2015,"VU","Gonystylus macrophyllus","threatened",0
"426","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2016,"VU","Gonystylus macrophyllus","threatened",0
"427","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2017,"VU","Gonystylus macrophyllus","threatened",0
"428","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2018,"LC","Gonystylus macrophyllus","not threatened",1044.491
"429","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2019,"LC","Gonystylus macrophyllus","not threatened",0
"430","Gonystylus macrophyllus","Thymelaeaceae","Myrtales","m3",2020,"LC","Gonystylus macrophyllus","not threatened",0
"431","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2003,"NT","Guaiacum coulteri","not threatened",0
"432","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2004,"NT","Guaiacum coulteri","not threatened",12.01
"433","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2005,"NT","Guaiacum coulteri","not threatened",0
"434","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2006,"NT","Guaiacum coulteri","not threatened",0
"435","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2007,"NT","Guaiacum coulteri","not threatened",18.216
"436","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2008,"NT","Guaiacum coulteri","not threatened",0
"437","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2009,"NT","Guaiacum coulteri","not threatened",0
"438","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2010,"NT","Guaiacum coulteri","not threatened",0
"439","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2011,"NT","Guaiacum coulteri","not threatened",0
"440","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2012,"NT","Guaiacum coulteri","not threatened",17.73
"441","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2013,"NT","Guaiacum coulteri","not threatened",0
"442","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2014,"NT","Guaiacum coulteri","not threatened",0
"443","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2015,"NT","Guaiacum coulteri","not threatened",0
"444","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2016,"NT","Guaiacum coulteri","not threatened",0
"445","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2017,"VU","Guaiacum coulteri","threatened",0
"446","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2018,"VU","Guaiacum coulteri","threatened",0
"447","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2019,"VU","Guaiacum coulteri","threatened",0
"448","Guaiacum coulteri","Zygophyllaceae","Sapindales","m3",2020,"VU","Guaiacum coulteri","threatened",0
"449","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2000,"EN","Guaiacum officinale","threatened",0
"450","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2001,"EN","Guaiacum officinale","threatened",0
"451","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2002,"EN","Guaiacum officinale","threatened",0
"452","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2003,"EN","Guaiacum officinale","threatened",0
"453","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2004,"EN","Guaiacum officinale","threatened",0
"454","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2005,"EN","Guaiacum officinale","threatened",0
"455","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2006,"EN","Guaiacum officinale","threatened",0
"456","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2007,"EN","Guaiacum officinale","threatened",0
"457","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2008,"EN","Guaiacum officinale","threatened",0
"458","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2009,"EN","Guaiacum officinale","threatened",0
"459","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2010,"EN","Guaiacum officinale","threatened",0
"460","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2011,"EN","Guaiacum officinale","threatened",0
"461","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2012,"EN","Guaiacum officinale","threatened",0
"462","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2013,"EN","Guaiacum officinale","threatened",3
"463","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2014,"EN","Guaiacum officinale","threatened",0
"464","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2015,"EN","Guaiacum officinale","threatened",0
"465","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2016,"EN","Guaiacum officinale","threatened",0
"466","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2017,"EN","Guaiacum officinale","threatened",0
"467","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2018,"EN","Guaiacum officinale","threatened",0
"468","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2019,"EN","Guaiacum officinale","threatened",0
"469","Guaiacum officinale","Zygophyllaceae","Sapindales","m3",2020,"EN","Guaiacum officinale","threatened",0
"470","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2000,"EN","Guaiacum sanctum","threatened",65.64
"471","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2001,"EN","Guaiacum sanctum","threatened",6.51
"472","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2002,"EN","Guaiacum sanctum","threatened",30.85
"473","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2003,"EN","Guaiacum sanctum","threatened",62.86
"474","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2004,"EN","Guaiacum sanctum","threatened",56.842
"475","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2005,"EN","Guaiacum sanctum","threatened",66.928
"476","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2006,"EN","Guaiacum sanctum","threatened",101.859
"477","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2007,"EN","Guaiacum sanctum","threatened",116.786309904153
"478","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2008,"EN","Guaiacum sanctum","threatened",21.708
"479","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2009,"EN","Guaiacum sanctum","threatened",222.563322683706
"480","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2010,"EN","Guaiacum sanctum","threatened",187.333846645367
"481","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2011,"EN","Guaiacum sanctum","threatened",66.588
"482","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2012,"EN","Guaiacum sanctum","threatened",95.426
"483","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2013,"EN","Guaiacum sanctum","threatened",54.306
"484","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2014,"EN","Guaiacum sanctum","threatened",73.821
"485","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2015,"EN","Guaiacum sanctum","threatened",21.035
"486","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2016,"EN","Guaiacum sanctum","threatened",76.509
"487","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2017,"NT","Guaiacum sanctum","not threatened",102.178
"488","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2018,"NT","Guaiacum sanctum","not threatened",16.758
"489","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2019,"NT","Guaiacum sanctum","not threatened",47.049
"490","Guaiacum sanctum","Zygophyllaceae","Sapindales","m3",2020,"NT","Guaiacum sanctum","not threatened",97.246
"491","Guibourtia demeusei","Leguminosae","Fabales","m3",2017,"NE","Guibourtia demeusei","not threatened",1876.829
"492","Guibourtia demeusei","Leguminosae","Fabales","m3",2018,"NE","Guibourtia demeusei","not threatened",10975.73200015
"493","Guibourtia demeusei","Leguminosae","Fabales","m3",2019,"NE","Guibourtia demeusei","not threatened",8504.15661225515
"494","Guibourtia demeusei","Leguminosae","Fabales","m3",2020,"NE","Guibourtia demeusei","not threatened",10186.043
"495","Guibourtia pellegriniana","Leguminosae","Fabales","m3",2017,"NE","Guibourtia pellegriniana","not threatened",1433.142
"496","Guibourtia pellegriniana","Leguminosae","Fabales","m3",2018,"NE","Guibourtia pellegriniana","not threatened",210.9
"497","Guibourtia pellegriniana","Leguminosae","Fabales","m3",2019,"NE","Guibourtia pellegriniana","not threatened",0
"498","Guibourtia pellegriniana","Leguminosae","Fabales","m3",2020,"NE","Guibourtia pellegriniana","not threatened",0
"499","Guibourtia tessmannii","Leguminosae","Fabales","m3",2017,"NE","Guibourtia tessmannii","not threatened",6264.441
"500","Guibourtia tessmannii","Leguminosae","Fabales","m3",2018,"NE","Guibourtia tessmannii","not threatened",29110.501
"501","Guibourtia tessmannii","Leguminosae","Fabales","m3",2019,"NE","Guibourtia tessmannii","not threatened",10198.129
"502","Guibourtia tessmannii","Leguminosae","Fabales","m3",2020,"NE","Guibourtia tessmannii","not threatened",11850.9401
"503","Gyrinops caudata","Thymelaeaceae","Myrtales","m3",2005,"NE","Gyrinops caudata","not threatened",0
