"","IUCNName","Year","IUCN_code","IUCN_cat","Taxon"
"1","Acanthophippium striatum",,,,"Acanthophippium striatum"
"2","Acianthera miqueliana",,,,"Acianthera miqueliana"
"3","Acianthera tikalensis",,,,"Acianthera tikalensis"
"4","Acriopsis indica",,,,"Acriopsis indica"
"5","Adenia firingalavensis",,,,"Adenia firingalavensis"
"6","Adenia olaboensis",,,,"Adenia olaboensis"
"7","Aerangis articulata",,,,"Aerangis articulata"
"8","Aerangis citrata",,,,"Aerangis citrata"
"9","Aerangis cryptodon",,,,"Aerangis cryptodon"
"10","Aerangis curnowiana",,,,"Aerangis curnowiana"
"11","Aerangis decaryana",,,,"Aerangis decaryana"
"12","Aerangis ellisii",,,,"Aerangis ellisii"
"13","Aerangis fastuosa",,,,"Aerangis fastuosa"
"14","Aerangis fuscata",,,,"Aerangis fuscata"
"15","Aerangis hyaloides","2019","VU","Vulnerable","Aerangis hyaloides"
"16","Aerangis macrocentra","2016","NT","Near Threatened","Aerangis macrocentra"
"17","Aerangis modesta",,,,"Aerangis modesta"
"18","Aerangis pallidiflora","2019","VU","Vulnerable","Aerangis pallidiflora"
"19","Aerangis punctata","2019","NT","Near Threatened","Aerangis punctata"
"20","Aerangis stylosa",,,,"Aerangis stylosa"
"21","Aeranthes arachnites",,,,"Aeranthes arachnites"
"22","Aeranthes grandiflora",,,,"Aeranthes grandiflora"
"23","Aeranthes nidus",,,,"Aeranthes nidus"
"24","Aeranthes peyrotii","2021","LC","Least Concern","Aeranthes peyrotii"
"25","Aeranthes ramosa",,,,"Aeranthes ramosa"
"26","Aerides crassifolia",,,,"Aerides crassifolia"
"27","Aerides falcata",,,,"Aerides falcata"
"28","Aerides multiflora",,,,"Aerides multiflora"
"29","Aerides odorata",,,,"Aerides odorata"
"30","Aerides rubescens",,,,"Aerides rubescens"
"31","Alluaudia comosa","2019","VU","Vulnerable","Alluaudia comosa"
"32","Alluaudia procera","2019","LC","Least Concern","Alluaudia procera"
"33","Alluaudia procera","1998","nt","Not Threatened","Alluaudia procera"
"34","Alluaudia procera","1998","LR/nt","Lower Risk/near threatened","Alluaudia procera"
"35","Alluaudiopsis fiherenensis","2019","VU","Vulnerable","Alluaudiopsis fiherenensis"
"36","Aloe antandroi","2020","VU","Vulnerable","Aloe antandroi"
"37","Aloe arborescens","2019","LC","Least Concern","Aloe arborescens"
"38","Aloe aristata",,,,"Aloe aristata"
"39","Aloe barberae",,,,"Aloe barberae"
"40","Aloe capitata","2020","LC","Least Concern","Aloe capitata"
"41","Aloe conifera",,,,"Aloe conifera"
"42","Aloe deltoideodonta","2020","LC","Least Concern","Aloe deltoideodonta"
"43","Aloidendron dichotomum","2022","VU","Vulnerable","Aloe dichotoma"
"44","Aloe divaricata","2020","LC","Least Concern","Aloe divaricata"
"45","Aloe droseroides","2020","EN","Endangered","Aloe droseroides"
"46","Aloe ecklonis",,,,"Aloe ecklonis"
"47","Aloe erythrophylla",,,,"Aloe erythrophylla"
"48","Aloe ferox",,,,"Aloe ferox"
"49","Aloe humbertii","2020","LC","Least Concern","Aloe humbertii"
"50","Aloe inexpectata","2020","EN","Endangered","Aloe inexpectata"
"51","Aloe plicatilis",,,,"Aloe plicatilis"
"52","Aloe polyphylla",,,,"Aloe polyphylla"
"53","Aloe pratensis",,,,"Aloe pratensis"
"54","Aloe pronkii","2020","EN","Endangered","Aloe pronkii"
"55","Aloe vaombe","2020","LC","Least Concern","Aloe vaombe"
"56","Alsophila borinquena",,,,"Alsophila borinquena"
"57","Alsophila cunninghamii",,,,"Alsophila cunninghamii"
"58","Alsophila dregei",,,,"Alsophila dregei"
"59","Sphaeropteris glauca","2019","LC","Least Concern","Alsophila smithii"
"60","Sphaeropteris glauca","2019","LC","Least Concern","Sphaeropteris glauca"
"61","Angraecum alleizettei","2019","EN","Endangered","Angraecum alleizettei"
"62","Angraecum ankeranense","2019","EN","Endangered","Angraecum ankeranense"
"63","Angraecum bicallosum","2019","EN","Endangered","Angraecum bicallosum"
"64","Angraecum breve",,,,"Angraecum breve"
"65","Angraecum clavigerum","2021","NT","Near Threatened","Angraecum clavigerum"
"66","Angraecum compactum","2016","LC","Least Concern","Angraecum compactum"
"67","Angraecum coutrixii","2018","EN","Endangered","Angraecum coutrixii"
"68","Angraecum coutrixii","2013","EN","Endangered","Angraecum coutrixii"
"69","Angraecum didieri",,,,"Angraecum didieri"
"70","Angraecum dollii",,,,"Angraecum dollii"
"71","Angraecum drouhardii",,,,"Angraecum drouhardii"
"72","Angraecum eburneum",,,,"Angraecum eburneum"
"73","Angraecum elephantinum",,,,"Angraecum elephantinum"
"74","Angraecum equitans","2021","VU","Vulnerable","Angraecum equitans"
"75","Angraecum filicornu",,,,"Angraecum filicornu"
"76","Angraecum germinyanum",,,,"Angraecum germinyanum"
"77","Angraecum gracile",,,,"Angraecum gracile"
"78","Angraecum humblotianum","2013","EN","Endangered","Angraecum humblotianum"
"79","Angraecum lecomtei",,,,"Angraecum lecomtei"
"80","Angraecum leonis",,,,"Angraecum leonis"
"81","Angraecum magdalenae",,,,"Angraecum magdalenae"
"82","Angraecum mahavavense","2015","CR","Critically Endangered","Angraecum mahavavense"
"83","Angraecum obesum","2015","EN","Endangered","Angraecum obesum"
"84","Angraecum pinifolium","2018","EN","Endangered","Angraecum pinifolium"
"85","Angraecum pinifolium","2013","CR","Critically Endangered","Angraecum pinifolium"
"86","Angraecum popowii",,,,"Angraecum popowii"
"87","Angraecum praestans",,,,"Angraecum praestans"
"88","Angraecum protensum","2015","EN","Endangered","Angraecum protensum"
"89","Angraecum pseudofilicornu","2019","VU","Vulnerable","Angraecum pseudofilicornu"
"90","Angraecum ramosum",,,,"Angraecum ramosum"
"91","Angraecum rutenbergianum",,,,"Angraecum rutenbergianum"
"92","Angraecum scottianum",,,,"Angraecum scottianum"
"93","Angraecum sesquipedale",,,,"Angraecum sesquipedale"
"94","Angraecum sororium",,,,"Angraecum sororium"
"95","Angraecum teretifolium","2021","NT","Near Threatened","Angraecum teretifolium"
"96","Angraecum triquetrum",,,,"Angraecum triquetrum"
"97","Angraecum urschianum",,,,"Angraecum urschianum"
"98","Angraecum viguieri","2021","LC","Least Concern","Angraecum viguieri"
"99","Anoectochilus brevilabris",,,,"Anoectochilus brevilabris"
"100","Aquilaria beccariana","2018","VU","Vulnerable","Aquilaria beccariana"
"101","Aquilaria beccariana","1998","VU","Vulnerable","Aquilaria beccariana"
"102","Aquilaria crassna","2018","CR","Critically Endangered","Aquilaria crassna"
"103","Aquilaria crassna","1998","CR","Critically Endangered","Aquilaria crassna"
"104","Aquilaria malaccensis","2018","CR","Critically Endangered","Aquilaria malaccensis"
"105","Aquilaria malaccensis","1998","VU","Vulnerable","Aquilaria malaccensis"
"106","Aquilaria subintegra","2018","DD","Data Deficient","Aquilaria subintegra"
"107","Arachnis flos-aeris",,,,"Arachnis flos-aeris"
"108","Arpophyllum giganteum",,,,"Arpophyllum giganteum"
"109","Arpophyllum spicatum",,,,"Arpophyllum spicatum"
"110","Arundina graminifolia",,,,"Arundina graminifolia"
"111","Ascocentrum christensonianum",,,,"Ascocentrum christensonianum"
"112","Ascocentrum miniatum",,,,"Ascocentrum miniatum"
"113","Astrophytum capricorne","2013","LC","Least Concern","Astrophytum capricorne"
"114","Astrophytum coahuilense","2017","VU","Vulnerable","Astrophytum coahuilense"
"115","Astrophytum coahuilense","2013","VU","Vulnerable","Astrophytum coahuilense"
"116","Astrophytum myriostigma","2017","LC","Least Concern","Astrophytum myriostigma"
"117","Astrophytum myriostigma","2013","LC","Least Concern","Astrophytum myriostigma"
"118","Astrophytum ornatum","2017","VU","Vulnerable","Astrophytum ornatum"
"119","Astrophytum ornatum","2013","VU","Vulnerable","Astrophytum ornatum"
"120","Barkeria obovata",,,,"Barkeria obovata"
"121","Barkeria spectabilis",,,,"Barkeria spectabilis"
"122","Beclardia macrostachya",,,,"Beclardia macrostachya"
"123","Bletia patula",,,,"Bletia patula"
"124","Bletia purpurea",,,,"Bletia purpurea"
"125","Bletilla striata",,,,"Bletilla striata"
"126","Bowenia serrulata","2022","LC","Least Concern","Bowenia serrulata"
"127","Bowenia serrulata","2010","LC","Least Concern","Bowenia serrulata"
"128","Bowenia serrulata","2003","LC","Least Concern","Bowenia serrulata"
"129","Brachycorythis galeandra",,,,"Brachycorythis galeandra"
"130","Brachypeza semiteretifolia",,,,"Brachypeza semiteretifolia"
"131","Brassavola acaulis",,,,"Brassavola acaulis"
"132","Brassavola cordata",,,,"Brassavola cordata"
"133","Brassavola cucullata",,,,"Brassavola cucullata"
"134","Brassavola nodosa",,,,"Brassavola nodosa"
"135","Brassavola venosa",,,,"Brassavola venosa"
"136","Brassia caudata",,,,"Brassia caudata"
"137","Brassia maculata","2018","LC","Least Concern","Brassia maculata"
"138","Brassia verrucosa","2013","LC","Least Concern","Brassia verrucosa"
"139","Bromheadia aporoides",,,,"Bromheadia aporoides"
"140","Broughtonia negrilensis","2018","EN","Endangered","Broughtonia negrilensis"
"141","Broughtonia sanguinea",,,,"Broughtonia sanguinea"
"142","Bryobium hyacinthoides",,,,"Bryobium hyacinthoides"
"143","Bulbophyllum affine",,,,"Bulbophyllum affine"
"144","Bulbophyllum alexandrae",,,,"Bulbophyllum alexandrae"
"145","Bulbophyllum baronii","2015","LC","Least Concern","Bulbophyllum baronii"
"146","Bulbophyllum boiteaui","2021","VU","Vulnerable","Bulbophyllum boiteaui"
"147","Bulbophyllum callosum","2019","EN","Endangered","Bulbophyllum callosum"
"148","Bulbophyllum careyanum",,,,"Bulbophyllum careyanum"
"149","Bulbophyllum cirrhoglossum",,,,"Bulbophyllum cirrhoglossum"
"150","Bulbophyllum comosum",,,,"Bulbophyllum comosum"
"151","Bulbophyllum coriophorum",,,,"Bulbophyllum coriophorum"
"152","Bulbophyllum elassonotum",,,,"Bulbophyllum elassonotum"
"153","Bulbophyllum evrardii","2018","EN","Endangered","Bulbophyllum evrardii"
"154","Bulbophyllum flabellum-veneris",,,,"Bulbophyllum flabellum-veneris"
"155","Bulbophyllum frostii",,,,"Bulbophyllum frostii"
"156","Bulbophyllum hamelinii","2018","VU","Vulnerable","Bulbophyllum hamelini"
"157","Bulbophyllum hamelinii","2013","NT","Near Threatened","Bulbophyllum hamelini"
"158","Bulbophyllum horizontale","2019","EN","Endangered","Bulbophyllum horizontale"
"159","Bulbophyllum horizontale","2015","EN","Endangered","Bulbophyllum horizontale"
"160","Bulbophyllum leandrianum",,,,"Bulbophyllum leandrianum"
"161","Bulbophyllum lemniscatoides",,,,"Bulbophyllum lemniscatoides"
"162","Bulbophyllum lobbii",,,,"Bulbophyllum lobbii"
"163","Bulbophyllum macranthum","2013","LC","Least Concern","Bulbophyllum macranthum"
"164","Bulbophyllum macrocoleum",,,,"Bulbophyllum macrocoleum"
"165","Bulbophyllum monanthum",,,,"Bulbophyllum monanthum"
"166","Bulbophyllum nigrescens",,,,"Bulbophyllum nigrescens"
"167","Bulbophyllum occlusum",,,,"Bulbophyllum occlusum"
"168","Bulbophyllum occultum",,,,"Bulbophyllum occultum"
"169","Bulbophyllum odoratissimum",,,,"Bulbophyllum odoratissimum"
"170","Bulbophyllum odoratum",,,,"Bulbophyllum odoratum"
"171","Bulbophyllum pectenveneris",,,,"Bulbophyllum pectenveneris"
"172","Bulbophyllum picturatum",,,,"Bulbophyllum picturatum"
"173","Bulbophyllum putidum",,,,"Bulbophyllum putidum"
"174","Bulbophyllum refractum",,,,"Bulbophyllum refractum"
"175","Bulbophyllum sigaldiae",,,,"Bulbophyllum sigaldiae"
"176","Bulbophyllum spathulatum",,,,"Bulbophyllum spathulatum"
"177","Bulbophyllum sulfureum","2019","EN","Endangered","Bulbophyllum sulfureum"
"178","Bulbophyllum tixieri",,,,"Bulbophyllum tixieri"
"179","Bulbophyllum tortisepalum",,,,"Bulbophyllum tortisepalum"
"180","Calanthe cardioglossa",,,,"Calanthe cardioglossa"
"181","Calanthe densiflora",,,,"Calanthe densiflora"
"182","Calanthe madagascariensis","2016","LC","Least Concern","Calanthe madagascariensis"
"183","Calanthe puberula",,,,"Calanthe puberula"
"184","Calanthe rubens",,,,"Calanthe rubens"
"185","Calanthe sylvatica",,,,"Calanthe sylvatica"
"186","Calanthe triplicata",,,,"Calanthe triplicata"
"187","Calanthe vestita",,,,"Calanthe vestita"
"188","Campylocentrum micranthum",,,,"Campylocentrum micranthum"
"189","Campylocentrum pachyrrhizum",,,,"Campylocentrum pachyrrhizum"
"190","Carnegiea gigantea","2013","LC","Least Concern","Carnegiea gigantea"
"191","Catasetum integerrimum",,,,"Catasetum integerrimum"
"192","Catasetum tenebrosum",,,,"Catasetum tenebrosum"
"193","Cattleya bowringiana",,,,"Cattleya bowringiana"
"194","Cattleya guatemalensis",,,,"Cattleya guatemalensis"
"195","Cattleya luteola",,,,"Cattleya luteola"
"196","Cattleya maxima",,,,"Cattleya maxima"
"197","Cattleya rex",,,,"Cattleya rex"
"198","Caucaea phalaenopsis",,,,"Caucaea phalaenopsis"
"199","Caularthron bilamellatum",,,,"Caularthron bilamellatum"
"200","Christensonia vietnamica",,,,"Christensonia vietnamica"
"201","Chysis aurea",,,,"Chysis aurea"
"202","Chysis bractescens",,,,"Chysis bractescens"
"203","Cibotium barometz",,,,"Cibotium barometz"
"204","Cleisostoma arietinum",,,,"Cleisostoma arietinum"
"205","Cleisostoma birmanicum",,,,"Cleisostoma birmanicum"
"206","Cleisostoma filiforme",,,,"Cleisostoma filiforme"
"207","Cleisostoma inflatum",,,,"Cleisostoma inflatum"
"208","Cleisostoma tenuifolium",,,,"Cleisostoma tenuifolium"
"209","Cochleanthes flabelliformis",,,,"Cochleanthes flabelliformis"
"210","Coelia bella",,,,"Coelia bella"
"211","Coelia triptera",,,,"Coelia triptera"
"212","Coelogyne assamica",,,,"Coelogyne assamica"
"213","Coelogyne filipeda",,,,"Coelogyne filipeda"
"214","Coelogyne fimbriata",,,,"Coelogyne fimbriata"
"215","Coelogyne lawrenceana",,,,"Coelogyne lawrenceana"
"216","Coelogyne mooreana",,,,"Coelogyne mooreana"
"217","Coelogyne ovalis",,,,"Coelogyne ovalis"
"218","Coelogyne rigida","2013","LC","Least Concern","Coelogyne rigida"
"219","Coelogyne sanderae",,,,"Coelogyne sanderae"
"220","Coelogyne tomentosa",,,,"Coelogyne tomentosa"
"221","Coelogyne virescens",,,,"Coelogyne virescens"
"222","Coelogyne viscosa",,,,"Coelogyne viscosa"
"223","Comparettia falcata",,,,"Comparettia falcata"
"224","Comparettia macroplectron",,,,"Comparettia macroplectron"
"225","Corryocactus brevistylus","2013","LC","Least Concern","Corryocactus brevistylus"
"226","Coryanthes maculata",,,,"Coryanthes maculata"
"227","Coryanthes speciosa",,,,"Coryanthes speciosa"
"228","Coryphantha poselgeriana","2013","LC","Least Concern","Coryphantha poselgeriana"
"229","Crepidium acuminatum",,,,"Crepidium acuminatum"
"230","Cryptopus paniculatus","2019","EN","Endangered","Cryptopus paniculatus"
"231","Cuitlauzina pulchella",,,,"Cuitlauzina pulchella"
"232","Cumulopuntia sphaerica","2017","LC","Least Concern","Cumulopuntia sphaerica"
"233","Cumulopuntia sphaerica","2013","LC","Least Concern","Cumulopuntia sphaerica"
"234","Cyathea australis",,,,"Cyathea australis"
"235","Cyathea dealbata",,,,"Cyathea dealbata"
"236","Cyathea medullaris",,,,"Cyathea medullaris"
"237","Cycas angulata","2022","LC","Least Concern","Cycas angulata"
"238","Cycas armstrongii","2022","VU","Vulnerable","Cycas armstrongii"
"239","Cycas armstrongii","2010","VU","Vulnerable","Cycas armstrongii"
"240","Cycas armstrongii","2003","LC","Least Concern","Cycas armstrongii"
