"","Taxon","Family","order_new","Year","Clean_code","IUCNName","n"
"90","Adenia firingalavensis","Passifloraceae","Malpighiales",2018,"NE","Adenia firingalavensis",0
"91","Adenia firingalavensis","Passifloraceae","Malpighiales",2019,"NE","Adenia firingalavensis",0
"92","Adenia firingalavensis","Passifloraceae","Malpighiales",2020,"NE","Adenia firingalavensis",0
"93","Adenia olaboensis","Passifloraceae","Malpighiales",2010,"NE","Adenia olaboensis",0
"94","Adenia olaboensis","Passifloraceae","Malpighiales",2011,"NE","Adenia olaboensis",0
"95","Adenia olaboensis","Passifloraceae","Malpighiales",2012,"NE","Adenia olaboensis",0
"96","Adenia olaboensis","Passifloraceae","Malpighiales",2013,"NE","Adenia olaboensis",0
"97","Adenia olaboensis","Passifloraceae","Malpighiales",2014,"NE","Adenia olaboensis",0
"98","Adenia olaboensis","Passifloraceae","Malpighiales",2015,"NE","Adenia olaboensis",0
"99","Adenia olaboensis","Passifloraceae","Malpighiales",2016,"NE","Adenia olaboensis",20
"100","Adenia olaboensis","Passifloraceae","Malpighiales",2017,"NE","Adenia olaboensis",0
"101","Adenia olaboensis","Passifloraceae","Malpighiales",2018,"NE","Adenia olaboensis",0
"102","Adenia olaboensis","Passifloraceae","Malpighiales",2019,"NE","Adenia olaboensis",0
"103","Adenia olaboensis","Passifloraceae","Malpighiales",2020,"NE","Adenia olaboensis",0
"104","Aerangis articulata","Orchidaceae","Asparagales",2000,"NE","Aerangis articulata",0
"105","Aerangis articulata","Orchidaceae","Asparagales",2001,"NE","Aerangis articulata",0
"106","Aerangis articulata","Orchidaceae","Asparagales",2002,"NE","Aerangis articulata",0
"107","Aerangis articulata","Orchidaceae","Asparagales",2003,"NE","Aerangis articulata",4
"108","Aerangis articulata","Orchidaceae","Asparagales",2004,"NE","Aerangis articulata",0
"109","Aerangis articulata","Orchidaceae","Asparagales",2005,"NE","Aerangis articulata",0
"110","Aerangis articulata","Orchidaceae","Asparagales",2006,"NE","Aerangis articulata",0
"111","Aerangis articulata","Orchidaceae","Asparagales",2007,"NE","Aerangis articulata",0
"112","Aerangis articulata","Orchidaceae","Asparagales",2008,"NE","Aerangis articulata",15
"113","Aerangis articulata","Orchidaceae","Asparagales",2009,"NE","Aerangis articulata",0
"114","Aerangis articulata","Orchidaceae","Asparagales",2010,"NE","Aerangis articulata",0
"115","Aerangis articulata","Orchidaceae","Asparagales",2011,"NE","Aerangis articulata",0
"116","Aerangis articulata","Orchidaceae","Asparagales",2012,"NE","Aerangis articulata",0
"117","Aerangis articulata","Orchidaceae","Asparagales",2013,"NE","Aerangis articulata",0
"118","Aerangis articulata","Orchidaceae","Asparagales",2014,"NE","Aerangis articulata",0
"119","Aerangis articulata","Orchidaceae","Asparagales",2015,"NE","Aerangis articulata",0
"120","Aerangis articulata","Orchidaceae","Asparagales",2016,"NE","Aerangis articulata",0
"121","Aerangis articulata","Orchidaceae","Asparagales",2017,"NE","Aerangis articulata",0
"122","Aerangis articulata","Orchidaceae","Asparagales",2018,"NE","Aerangis articulata",0
"123","Aerangis articulata","Orchidaceae","Asparagales",2019,"NE","Aerangis articulata",0
"124","Aerangis articulata","Orchidaceae","Asparagales",2020,"NE","Aerangis articulata",0
"125","Aerangis citrata","Orchidaceae","Asparagales",2000,"NE","Aerangis citrata",31
"126","Aerangis citrata","Orchidaceae","Asparagales",2001,"NE","Aerangis citrata",0
"127","Aerangis citrata","Orchidaceae","Asparagales",2002,"NE","Aerangis citrata",0
"128","Aerangis citrata","Orchidaceae","Asparagales",2003,"NE","Aerangis citrata",13
"129","Aerangis citrata","Orchidaceae","Asparagales",2004,"NE","Aerangis citrata",0
"130","Aerangis citrata","Orchidaceae","Asparagales",2005,"NE","Aerangis citrata",10
"131","Aerangis citrata","Orchidaceae","Asparagales",2006,"NE","Aerangis citrata",0
"132","Aerangis citrata","Orchidaceae","Asparagales",2007,"NE","Aerangis citrata",0
"133","Aerangis citrata","Orchidaceae","Asparagales",2008,"NE","Aerangis citrata",0
"134","Aerangis citrata","Orchidaceae","Asparagales",2009,"NE","Aerangis citrata",0
"135","Aerangis citrata","Orchidaceae","Asparagales",2010,"NE","Aerangis citrata",0
"136","Aerangis citrata","Orchidaceae","Asparagales",2011,"NE","Aerangis citrata",0
"137","Aerangis citrata","Orchidaceae","Asparagales",2012,"NE","Aerangis citrata",0
"138","Aerangis citrata","Orchidaceae","Asparagales",2013,"NE","Aerangis citrata",0
"139","Aerangis citrata","Orchidaceae","Asparagales",2014,"NE","Aerangis citrata",0
"140","Aerangis citrata","Orchidaceae","Asparagales",2015,"NE","Aerangis citrata",2
"141","Aerangis citrata","Orchidaceae","Asparagales",2016,"NE","Aerangis citrata",0
"142","Aerangis citrata","Orchidaceae","Asparagales",2017,"NE","Aerangis citrata",1
"143","Aerangis citrata","Orchidaceae","Asparagales",2018,"NE","Aerangis citrata",0
"144","Aerangis citrata","Orchidaceae","Asparagales",2019,"NE","Aerangis citrata",0
"145","Aerangis citrata","Orchidaceae","Asparagales",2020,"NE","Aerangis citrata",0
"146","Aerangis cryptodon","Orchidaceae","Asparagales",2000,"NE","Aerangis cryptodon",8
"147","Aerangis cryptodon","Orchidaceae","Asparagales",2001,"NE","Aerangis cryptodon",0
"148","Aerangis cryptodon","Orchidaceae","Asparagales",2002,"NE","Aerangis cryptodon",0
"149","Aerangis cryptodon","Orchidaceae","Asparagales",2003,"NE","Aerangis cryptodon",13
"150","Aerangis cryptodon","Orchidaceae","Asparagales",2004,"NE","Aerangis cryptodon",0
"151","Aerangis cryptodon","Orchidaceae","Asparagales",2005,"NE","Aerangis cryptodon",50
"152","Aerangis cryptodon","Orchidaceae","Asparagales",2006,"NE","Aerangis cryptodon",0
"153","Aerangis cryptodon","Orchidaceae","Asparagales",2007,"NE","Aerangis cryptodon",23
"154","Aerangis cryptodon","Orchidaceae","Asparagales",2008,"NE","Aerangis cryptodon",0
"155","Aerangis cryptodon","Orchidaceae","Asparagales",2009,"NE","Aerangis cryptodon",0
"156","Aerangis cryptodon","Orchidaceae","Asparagales",2010,"NE","Aerangis cryptodon",0
"157","Aerangis cryptodon","Orchidaceae","Asparagales",2011,"NE","Aerangis cryptodon",0
"158","Aerangis cryptodon","Orchidaceae","Asparagales",2012,"NE","Aerangis cryptodon",0
"159","Aerangis cryptodon","Orchidaceae","Asparagales",2013,"NE","Aerangis cryptodon",10
"160","Aerangis cryptodon","Orchidaceae","Asparagales",2014,"NE","Aerangis cryptodon",0
"161","Aerangis cryptodon","Orchidaceae","Asparagales",2015,"NE","Aerangis cryptodon",0
"162","Aerangis cryptodon","Orchidaceae","Asparagales",2016,"NE","Aerangis cryptodon",0
"163","Aerangis cryptodon","Orchidaceae","Asparagales",2017,"NE","Aerangis cryptodon",0
"164","Aerangis cryptodon","Orchidaceae","Asparagales",2018,"NE","Aerangis cryptodon",0
"165","Aerangis cryptodon","Orchidaceae","Asparagales",2019,"NE","Aerangis cryptodon",0
"166","Aerangis cryptodon","Orchidaceae","Asparagales",2020,"NE","Aerangis cryptodon",0
"167","Aerangis curnowiana","Orchidaceae","Asparagales",2000,"NE","Aerangis curnowiana",52
"168","Aerangis curnowiana","Orchidaceae","Asparagales",2001,"NE","Aerangis curnowiana",0
"169","Aerangis curnowiana","Orchidaceae","Asparagales",2002,"NE","Aerangis curnowiana",0
"170","Aerangis curnowiana","Orchidaceae","Asparagales",2003,"NE","Aerangis curnowiana",32
"171","Aerangis curnowiana","Orchidaceae","Asparagales",2004,"NE","Aerangis curnowiana",0
"172","Aerangis curnowiana","Orchidaceae","Asparagales",2005,"NE","Aerangis curnowiana",0
"173","Aerangis curnowiana","Orchidaceae","Asparagales",2006,"NE","Aerangis curnowiana",2
"174","Aerangis curnowiana","Orchidaceae","Asparagales",2007,"NE","Aerangis curnowiana",20
"175","Aerangis curnowiana","Orchidaceae","Asparagales",2008,"NE","Aerangis curnowiana",0
"176","Aerangis curnowiana","Orchidaceae","Asparagales",2009,"NE","Aerangis curnowiana",20
"177","Aerangis curnowiana","Orchidaceae","Asparagales",2010,"NE","Aerangis curnowiana",0
"178","Aerangis curnowiana","Orchidaceae","Asparagales",2011,"NE","Aerangis curnowiana",0
"179","Aerangis curnowiana","Orchidaceae","Asparagales",2012,"NE","Aerangis curnowiana",0
"180","Aerangis curnowiana","Orchidaceae","Asparagales",2013,"NE","Aerangis curnowiana",0
"181","Aerangis curnowiana","Orchidaceae","Asparagales",2014,"NE","Aerangis curnowiana",0
"182","Aerangis curnowiana","Orchidaceae","Asparagales",2015,"NE","Aerangis curnowiana",15
"183","Aerangis curnowiana","Orchidaceae","Asparagales",2016,"NE","Aerangis curnowiana",2
"184","Aerangis curnowiana","Orchidaceae","Asparagales",2017,"NE","Aerangis curnowiana",0
"185","Aerangis curnowiana","Orchidaceae","Asparagales",2018,"NE","Aerangis curnowiana",0
"186","Aerangis curnowiana","Orchidaceae","Asparagales",2019,"NE","Aerangis curnowiana",0
"187","Aerangis curnowiana","Orchidaceae","Asparagales",2020,"NE","Aerangis curnowiana",0
"188","Aerangis decaryana","Orchidaceae","Asparagales",2000,"NE","Aerangis decaryana",0
"189","Aerangis decaryana","Orchidaceae","Asparagales",2001,"NE","Aerangis decaryana",0
"190","Aerangis decaryana","Orchidaceae","Asparagales",2002,"NE","Aerangis decaryana",0
"191","Aerangis decaryana","Orchidaceae","Asparagales",2003,"NE","Aerangis decaryana",0
"192","Aerangis decaryana","Orchidaceae","Asparagales",2004,"NE","Aerangis decaryana",0
"193","Aerangis decaryana","Orchidaceae","Asparagales",2005,"NE","Aerangis decaryana",0
"194","Aerangis decaryana","Orchidaceae","Asparagales",2006,"NE","Aerangis decaryana",2
"195","Aerangis decaryana","Orchidaceae","Asparagales",2007,"NE","Aerangis decaryana",0
"196","Aerangis decaryana","Orchidaceae","Asparagales",2008,"NE","Aerangis decaryana",0
"197","Aerangis decaryana","Orchidaceae","Asparagales",2009,"NE","Aerangis decaryana",0
