"","Id","Year","Appendix","Taxon","Class","Order","Family","Genus","Term","Quantity","Unit","Importer","Exporter","Origin","Purpose","Source","Reporter.type","Import.permit.RandomID","Export.permit.RandomID","Origin.permit.RandomID","WildSource","PurposeC","Factor","WOE","FL_year","Year_DEL","ChangeType"
"109",1104982811,2004,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",12,NA,"IE","AU",NA,"T","W","I","e181ad3ba7","2365fd3343",NA,"Yes","Commercial",1,12,"1977","2020",NA
"110",5707990511,2004,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",50,NA,"GB","AU",NA,"T","W","I","0137fd293e","cb4eb754d4",NA,"Yes","Commercial",1,50,"1977","2020",NA
"111",9906571711,2004,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",50,NA,"GB","AU",NA,"T","W","I","49b65ce433","d9cb31ba6e",NA,"Yes","Commercial",1,50,"1977","2020",NA
"112",8180729111,2004,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",50,NA,"GB","AU",NA,"T","W","I","095f8aab25","98c9d22b4d",NA,"Yes","Commercial",1,50,"1977","2020",NA
"113",5432389611,2004,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",50,NA,"GB","AU",NA,"T","W","I","22db4fec44","034d7c4dda",NA,"Yes","Commercial",1,50,"1977","2020",NA
"114",7044619311,2004,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",50,NA,"GB","AU",NA,"T","W","I","1d3c8b791d","4ebde4cff5",NA,"Yes","Commercial",1,50,"1977","2020",NA
"115",3939395511,2005,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",70,NA,"GB","AU",NA,"T","W","I","c8e98eb489","5771da7f90",NA,"Yes","Commercial",1,70,"1977","2020",NA
"116",3314745011,2005,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",70,NA,"GB","AU",NA,"T","W","I","c68937ef54","fd7c7e8aff",NA,"Yes","Commercial",1,70,"1977","2020",NA
"117",1930502811,2006,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",107,NA,"GB","AU",NA,"T","W","I","2d29cd766a","5fe5b6953e",NA,"Yes","Commercial",1,107,"1977","2020",NA
"118",8724949611,2006,"II","Cyathea australis",NA,"Cyatheales","Cyatheaceae","Cyathea","live",28,NA,"IE","AU",NA,"T","W","I","ea552146b0",NA,NA,"Yes","Commercial",1,28,"1977","2020",NA
