"","Family","Taxon","Order","Importer","Exporter","Year","n","Clean_code","IUCNName","order_new","CITES order","Number of plants traded","analysis"
"55","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2020,2595392,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"56","Amaryllidaceae","Galanthus elwesii","Liliales","CH","TR",2004,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"57","Amaryllidaceae","Galanthus elwesii","Liliales","CH","TR",2005,90000,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"58","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2018,1969207,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"59","Amaryllidaceae","Galanthus elwesii","Liliales","NL","TR",2019,2729197,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"60","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2001,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"61","Amaryllidaceae","Galanthus woronowii","Liliales","NL","GE",2020,4906475,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"62","Amaryllidaceae","Galanthus elwesii","Liliales","DK","TR",2002,0,"NE","Galanthus elwesii","Asparagales","Liliales",178686359,"Yes"
"63","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2000,1341200,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"64","Amaryllidaceae","Galanthus woronowii","Liliales","NL","TR",2001,1672850,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"65","Amaryllidaceae","Galanthus nivalis","Liliales","US","NL",2004,0,"NE","Galanthus nivalis","Asparagales","Liliales",178686359,"Yes"
"66","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2011,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"67","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2012,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"68","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2013,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
"69","Amaryllidaceae","Galanthus woronowii","Liliales","CH","TR",2014,0,"NE","Galanthus woronowii","Asparagales","Liliales",178686359,"Yes"
